"","nu_syn","PL_Index.x","X_band","Pivot_Energy.x","HR45","PLEC_Flux_Density","HR34","HR56","nuFnu_Band7","Flux_Band2","Flux_Band7","nuFnu_Band2","PLEC_Expfactor","Frac_Variability.x","HR67","Variability_Index.x","Flux_Band3","Npred","nuFnu_Band3","nuFnu_Band6","Flux_Band6","HR23","Flux_Band1","nuFnu_Band1","HS123","HS234","LP_beta.x","Energy_Flux100.x","Flux_Band4","LP_SigCurv","nuFnu_Band4","HR12","PLEC_SigCurv","HS345","HS456","Flux1000.x","nuFnu_Band5","Signif_Avg.x","Flux_Band5","nuFnu_syn","HS567","PLEC_Exp_Index","ASSOC_FGL","CLASS1","SpectrumType.y","CLASS","RA_Counterpart.y","DEC_Counterpart.y","SED_class","Source_Name","RAJ2000.x"
"1",158489326387200,2.65930795669556,0.087,355.784423828125,-0.724632664923776,4.38755108633782e-11,-0.390782676148756,-0.999993098050324,2.43842504822976e-18,4.92456635470262e-08,8.20313689979857e-17,1.14705042339458e-11,0.00904919672757387,1.05458319187164,0.186708741327888,1564.41760253906,1.09040785289949e-08,5038.0693359375,6.92371680821591e-12,1.6711343799771e-18,8.14564321501471e-17,-0.247185646802228,8.16400671510564e-08,1.30604815157254e-11,0.182370588084055,0.143597029346528,0.158776074647903,2.61421058411759e-11,1.39279976441031e-09,7.32485294342041,3.03285933693498e-12,-0.0648150587181728,7.44668436050415,0.33384998877502,0.275360433126548,1.35905264819769e-09,4.8424827515936e-13,44.1346969604492,8.21650872340207e-11,1.15247102226018e-12,-1.18670183937821,0.666666686534882,"3FGL J0001.4+2120 ","fsrq","LogParabola","fsrq",0.3848771,21.2267429583,"ISP","4FGL J0001.5+2113",0.381500005722046
"2",301995156045824,2.03531503677368,0.015,2554.3271484375,0.0933563107204415,4.27953977593862e-14,0.591843730183949,-0.764260773140275,3.1879507985267e-14,2.18598739110121e-09,6.05632243574211e-13,5.23462783535988e-13,0.00808995869010687,0.378928303718567,-0.329281914776075,11.352560043335,1.47044126874718e-10,225.48405456543,1.00535763524964e-13,6.31813191717158e-14,2.6384601968521e-12,-0.677769238410923,1.0483475421097e-08,1.67709227581747e-12,0.153524463267497,-1.26961296859487,0.469106525182724,2.13349607078306e-12,1.63740590530814e-10,2.89678382873535,3.92097920971779e-13,-0.524244775143426,2.8517587184906,0.498487419463507,0.857617083860716,1.91857113529537e-10,4.72845883541656e-13,6.89971160888672,6.91586857226589e-11,2.59305652037384e-13,-0.4349788583642,0.666666686534882,"3FGL J0004.2+0843 ","bll","PowerLaw","bll",0.996792179167,8.6939406,"ISP","4FGL J0004.0+0840",1.00730001926422
"3",2570395844608,2.58496904373169,0.213,917.122741699219,-0.324213220636054,5.1965896863404e-13,-0.256288749370025,-0.999807551151381,4.22418929031384e-18,7.9636458538701e-10,9.83276939505623e-17,1.80878139614642e-13,0.0032765616197139,1.06099951267242,-0.726382459073656,44.8602905273438,1.42794609470087e-09,805.006774902344,9.16732618636007e-13,2.66524078460588e-17,1.17344397562144e-15,0.670414783647124,9.62382604163814e-11,1.50664799646733e-14,0.175802172990722,0.92670353301715,0.0672923773527145,3.95253621499059e-12,2.38937009067186e-10,0.889183878898621,5.42697180597185e-13,0.846216956637846,1.54145002365112,0.067924471266029,0.675594330515326,2.40936770534717e-10,2.76955081047678e-13,7.11504602432251,4.31398319844511e-11,2.29443092129855e-13,-0.273425092077725,0.666666686534882,"                  ","fsrq","PowerLaw","fsrq",1.06719851493835,46.2549934387207,"LSP","4FGL J0004.3+4614",1.07570004463196
"4",13182567448576,2.36556005477905,0.342,915.582763671875,-0.167505582132448,7.97812553868238e-13,-0.210964996946292,-0.432629421554254,3.35909547476991e-18,8.49397086000181e-09,7.24542321611774e-17,1.96973166943781e-12,0.00269506871700287,0.88832825422287,-0.999969980909319,139.123046875,1.84836645988895e-09,1082.06762695312,1.21626526124879e-12,2.23793924472755e-13,9.65054858942382e-12,-0.236493136867726,1.7770144467022e-08,2.80593864115941e-12,0.061395837988853,-0.0255281399214341,0.0920369178056717,5.57796517308695e-12,3.4174071905646e-10,2.14701199531555,7.92488524890139e-13,-0.175097298878873,2.37955713272095,-0.0434594148138436,0.265123839421806,4.35961794442719e-10,5.65087039661183e-13,19.5527496337891,8.58766530109634e-11,2.52001999996587e-12,0.567340559355065,0.666666686534882,"3FGL J0004.7-4740 ","fsrq","PowerLaw","fsrq",1.1485645375,-47.6054455472,"LSP","4FGL J0004.4-4737",1.10909998416901
"5",13182567448576,2.67211556434631,0.532,450.062713623047,-0.646595931047419,7.28611181805006e-12,-0.482977929509929,-0.501057892573262,7.42998570860477e-20,1.34071171942196e-08,2.57336136719431e-18,3.16244860160131e-12,0.0105490200221539,0.314990162849426,-0.999997408159944,26.7695159912109,3.60714702551945e-09,1599.69250488281,2.3051415377201e-12,5.73336002155159e-14,2.82719399107012e-12,-0.156797975348535,2.06254977541676e-08,3.324091219295e-12,0.13187827668686,0.326179954161394,0.189904108643532,7.54109795442215e-12,3.69493352581074e-10,3.11947989463806,8.036593309238e-13,-0.0249196986616748,3.062828540802,0.163618001537489,-0.145538038474156,4.25147389515601e-10,1.7248705176838e-13,16.4557456970215,2.94994167981955e-11,7.26000639814095e-12,0.498939515586681,0.666666686534882,"3FGL J0006.4+3825 ","fsrq","LogParabola","fsrq",1.48823080417,38.3375414,"LSP","4FGL J0005.9+3824",1.49860000610352
"6",229086760796160,2.05246686935425,0.014,2602.171875,0.0296110476444483,2.89875952018057e-14,0.266790270432344,-0.196930938262559,5.38944882662605e-16,2.32559457802317e-10,1.03096166247595e-14,5.55954750552229e-14,0.00477110128849745,0,-0.994653753231029,6.26467037200928,2.39595399076364e-10,183.384582519531,1.63483986005859e-13,2.01077219111334e-13,8.41119014716174e-12,0.492462919290072,2.7877354938366e-11,4.45664055857245e-15,0.359111317087084,0.225672648857728,0.321143865585327,1.68763484090229e-12,1.18153431483137e-10,1.75322866439819,2.82456593921412e-13,0.851574236377156,1.79131007194519,0.237179222787896,0.226541985907007,1.51911871970611e-10,2.9969470373252e-13,6.01141786575317,4.3922022269216e-11,2.24388189236022e-13,0.79772281496847,0.666666686534882,"3FGL J0006.2+0135 ","bll","PowerLaw","bll",1.61218634167,1.60288485,"ISP","4FGL J0006.4+0135",1.60940003395081
"7",1258925378764800,1.99391210079193,0.016,1316.57922363281,0.040330090160193,1.49420135552719e-12,0.0478893736770124,-0.077639336311795,2.11133476153702e-12,1.42789007284705e-08,4.66137163590563e-11,3.55445187172343e-12,0.000971238128840923,0.38765761256218,-0.284147691320938,148.499588012695,5.26806731571128e-09,2942.88500976562,3.70889039966182e-12,3.78746513318706e-12,1.61026747491633e-10,0.0212627358271161,1.2097136625755e-08,1.97435340645868e-12,0.264531099506562,-0.0266266378498963,0.0622856616973877,2.46330386644011e-11,1.68731950633827e-09,4.16401672363281,4.08199082174709e-12,0.285793835333678,4.69214391708374,0.00755928351681934,0.117969426471988,2.63245936160672e-09,4.42508182874057e-12,57.9272193908691,6.50259734946701e-10,1.19589483715127e-12,0.206508355009143,0.666666686534882,"3FGL J0009.3+5030 ","bll","LogParabola","bll",2.344833625,50.5080106194,"HSP","4FGL J0009.3+5030",2.34660005569458
"8",9660508667904,2.45603561401367,0.235,735.708312988281,-0.619196497415939,1.17709639778363e-12,-0.166328066508554,-0.0364830569209895,7.1676854438945e-19,6.28355234510991e-09,1.59675008067521e-17,1.44462274174334e-12,0.00304466462694108,0.814305067062378,-0.999991772283708,91.5943756103516,1.7118606532307e-09,980.322387695312,1.11494862821415e-12,1.74231966744778e-13,7.57841879528431e-12,-0.128800516132772,6.10264239142566e-09,9.60208041550503e-13,0.330234522865397,0.0375275503757821,0.106107525527477,4.89077528476045e-12,3.46641132464853e-10,2.04011392593384,7.969467642234e-13,0.201434006732625,1.84988248348236,0.452868430907385,-0.58271344049495,3.49237666563695e-10,1.87426368370748e-13,15.5498876571655,2.87769166135154e-11,6.70165420553481e-13,0.963508715362718,0.666666686534882,"                  ","fsrq","PowerLaw","fsrq",2.64892584167,-30.4631718333,"LSP","4FGL J0010.6-3025",2.66750001907349
"9",3630780645376,2.3178699016571,0.076,1386.23889160156,-0.231608159471962,1.12924121822063e-13,-0.223164085004586,-0.999127109232645,1.11159386274699e-13,2.47314502210827e-09,2.35612202491298e-12,5.76148991796727e-13,0.00116173480637372,0.703226983547211,0.998378793664364,26.9593143463135,7.87816145653153e-10,334.871398925781,5.21233555449141e-13,9.01792502328658e-17,3.87098419114894e-15,-0.0500421994913341,7.7280863999829e-12,1.22256828667217e-15,1.04580725488653,0.173121885513252,0.0839310809969902,2.12267746782513e-12,1.42099235156401e-10,0.810667216777802,3.31037308025708e-13,0.995765055395193,0.651195883750916,0.00844407446737602,0.767518949760683,1.72612577009623e-10,2.06531894451217e-13,5.65001916885376,3.12161720084081e-11,3.63813661271792e-13,-1.99750590289701,0.666666686534882,"                  ","fsrq","PowerLaw","fsrq",2.61976269167,20.7971634917,"LSP","4FGL J0010.6+2043",2.65019989013672
"10",6918309937152,2.33421564102173,0.168,1181.69921875,0.0686798927346939,4.16865543820255e-13,-0.201543739306512,-0.617137124055087,1.14637958137231e-18,8.3854194699029e-09,2.44453791295652e-17,1.95041595721368e-12,0.00210531451739371,0.864576518535614,-0.999987759126832,71.9757919311523,1.57105761733334e-09,809.306884765625,1.03749680287896e-12,1.87302416957379e-13,8.05268872416942e-12,-0.305537419474863,2.31601919864488e-08,3.66154329078938e-12,0.000630120979318471,-0.103993680168351,0.0473205745220184,5.34197555981941e-12,2.96412033806703e-10,0.843534052371979,6.89442914651034e-13,-0.304907298495544,1.590651512146,-0.270223632041205,0.685817016789781,4.28820673414876e-10,7.91128393264756e-13,14.14528465271,1.19798768127843e-10,8.55606330143338e-13,0.382850635071745,0.666666686534882,"2FGL J0011.3+0054 ","fsrq","PowerLaw","fsrq",2.87668005833,0.964410311111,"LSP","4FGL J0011.4+0057",2.85509991645813
